MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,06/01/2018,12:00:00AM,6678.000,0.000,,,3345.717,3333.166,0.074,0.000,616.000,617.000,0.000,0.000,,,,
1182799,,,06/01/2018,12:00:00AM,379.000,0.000,,,193.313,186.579,0.074,0.000,52.000,52.000,0.000,0.000,,,,
1182800,,,06/01/2018,12:00:00AM,1421.000,0.000,,,665.977,755.776,0.074,0.000,21.000,13.000,78.000,70.000,,,,
1182801,,,06/01/2018,12:00:00AM,861.000,0.000,,,559.234,302.296,0.074,0.000,134.000,118.000,12.000,6.000,,,,
1182802,,,06/01/2018,12:00:00AM,1393.000,0.000,,,419.187,974.113,0.074,0.000,35.000,76.000,30.000,40.000,,,,
1182803,,,06/01/2018,12:00:00AM,1035.000,0.000,,,408.556,626.533,0.074,0.000,145.000,185.000,36.000,39.000,,,,
1182804,,,06/01/2018,12:00:00AM,3020.000,0.000,,,1599.874,1420.289,0.074,0.000,47.000,44.000,82.000,72.000,,,,
1182805,,,06/01/2018,12:00:00AM,1921.000,0.000,,,961.165,960.711,0.074,0.000,21.000,15.000,261.000,314.000,,,,
1182806,,,06/01/2018,12:00:00AM,934.000,0.000,,,390.597,543.444,0.074,0.000,61.000,52.000,29.000,81.000,,,,
1182807,,,06/01/2018,12:00:00AM,529.000,0.000,,,268.457,261.184,0.074,0.000,0.000,0.000,14.000,10.000,,,,
1182808,,,06/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.016,0.074,0.000,8.000,8.000,0.000,0.000,,,,
