MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,14/01/2018,12:00:00AM,7149.000,0.000,,,3580.520,3568.491,0.074,0.000,654.000,656.000,0.000,0.000,,,,
1182799,,,14/01/2018,12:00:00AM,405.000,0.000,,,206.096,199.414,0.074,0.000,55.000,55.000,0.000,0.000,,,,
1182800,,,14/01/2018,12:00:00AM,1608.000,0.000,,,707.520,900.967,0.074,0.000,23.000,13.000,83.000,75.000,,,,
1182802,,,14/01/2018,12:00:00AM,1455.000,0.000,,,447.132,1008.667,0.074,0.000,37.000,76.000,32.000,43.000,,,,
1182803,,,14/01/2018,12:00:00AM,1111.000,0.000,,,440.312,671.475,0.074,0.000,152.000,193.000,38.000,42.000,,,,
1182804,,,14/01/2018,12:00:00AM,3162.000,0.000,,,1699.792,1463.156,0.074,0.000,49.000,44.000,88.000,80.000,,,,
1182805,,,14/01/2018,12:00:00AM,2055.000,0.000,,,1034.370,1020.681,0.074,0.000,23.000,17.000,274.000,328.000,,,,
1182806,,,14/01/2018,12:00:00AM,961.000,0.000,,,405.168,556.814,0.074,0.000,62.000,53.000,32.000,85.000,,,,
1182807,,,14/01/2018,12:00:00AM,565.000,0.000,,,286.522,279.265,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,14/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,14/01/2018,12:00:00AM,1985.000,0.000,,,836.625,1148.585,0.074,0.000,296.000,278.000,31.000,64.000,,,,
1182810,,,14/01/2018,12:00:00AM,1783.000,0.000,,,893.826,889.696,0.074,0.000,120.000,98.000,20.000,22.000,,,,
1182811,,,14/01/2018,12:00:00AM,543.000,0.000,,,290.451,252.976,0.074,0.000,50.000,56.000,4.000,3.000,,,,
1182812,,,14/01/2018,12:00:00AM,1960.000,0.000,,,1039.754,920.627,0.074,0.000,31.000,23.000,31.000,32.000,,,,
1182813,,,14/01/2018,12:00:00AM,813.000,0.000,,,217.545,596.123,0.074,0.000,111.000,273.000,0.000,0.000,,,,
1182814,,,14/01/2018,12:00:00AM,1008.000,0.000,,,319.308,689.406,0.074,0.000,97.000,154.000,15.000,14.000,,,,
1182815,,,14/01/2018,12:00:00AM,1970.000,0.000,,,788.370,1182.015,0.074,0.000,105.000,70.000,44.000,62.000,,,,
1182816,,,14/01/2018,12:00:00AM,1408.000,0.000,,,547.050,861.536,0.074,0.000,94.000,92.000,48.000,47.000,,,,
1182817,,,14/01/2018,12:00:00AM,801.000,0.000,,,237.808,564.145,0.074,0.000,10.000,27.000,35.000,24.000,,,,
1182818,,,14/01/2018,12:00:00AM,1091.000,0.000,,,248.960,842.681,0.074,0.000,174.000,248.000,6.000,7.000,,,,
1182819,,,14/01/2018,12:00:00AM,882.000,0.000,,,342.346,540.313,0.074,0.000,51.000,31.000,11.000,33.000,,,,
1182820,,,14/01/2018,12:00:00AM,577.000,0.000,,,296.501,281.244,0.074,0.000,188.000,179.000,1.000,1.000,,,,
1182821,,,14/01/2018,12:00:00AM,1581.000,0.000,,,866.227,715.470,0.074,0.000,59.000,10.000,161.000,221.000,,,,
1182822,,,14/01/2018,12:00:00AM,888.000,0.000,,,405.033,483.117,0.074,0.000,31.000,9.000,42.000,48.000,,,,
1182823,,,14/01/2018,12:00:00AM,774.000,0.000,,,357.693,416.804,0.074,0.000,136.000,122.000,18.000,23.000,,,,
1182824,,,14/01/2018,12:00:00AM,941.000,0.000,,,539.142,402.473,0.074,0.000,184.000,188.000,4.000,4.000,,,,
1182825,,,14/01/2018,12:00:00AM,2017.000,0.000,,,1109.239,907.769,0.074,0.000,80.000,113.000,12.000,2.000,,,,
1182826,,,14/01/2018,12:00:00AM,496.000,0.000,,,315.573,181.276,0.074,0.000,68.000,29.000,16.000,20.000,,,,
1182827,,,14/01/2018,12:00:00AM,1843.000,0.000,,,1036.858,806.191,0.074,0.000,280.000,238.000,1.000,0.000,,,,
1182828,,,14/01/2018,12:00:00AM,1452.000,0.000,,,493.268,959.000,0.074,0.000,190.000,137.000,10.000,54.000,,,,
1182829,,,14/01/2018,12:00:00AM,1570.000,0.000,,,727.382,843.397,0.074,0.000,109.000,220.000,42.000,35.000,,,,
1182830,,,14/01/2018,12:00:00AM,1699.000,0.000,,,847.911,851.786,0.074,0.000,49.000,56.000,77.000,50.000,,,,
1182831,,,14/01/2018,12:00:00AM,869.000,0.000,,,479.107,390.205,0.074,0.000,21.000,28.000,14.000,3.000,,,,
1182832,,,14/01/2018,12:00:00AM,798.000,0.000,,,360.348,437.742,0.074,0.000,4.000,1.000,189.000,198.000,,,,
1182833,,,14/01/2018,12:00:00AM,871.000,0.000,,,394.931,476.224,0.074,0.000,67.000,71.000,13.000,8.000,,,,
1182834,,,14/01/2018,12:00:00AM,759.000,0.000,,,419.901,339.721,0.074,0.000,136.000,91.000,2.000,5.000,,,,
1182835,,,14/01/2018,12:00:00AM,366.000,0.000,,,222.921,143.391,0.074,0.000,64.000,42.000,2.000,1.000,,,,
1182836,,,14/01/2018,12:00:00AM,1137.000,0.000,,,427.846,709.857,0.095,0.000,16.000,6.000,49.000,50.000,,,,
1182837,,,14/01/2018,12:00:00AM,388.000,0.000,,,184.690,203.781,0.074,0.000,81.000,68.000,2.000,3.000,,,,
1182838,,,14/01/2018,12:00:00AM,427.000,0.000,,,208.907,218.209,0.074,0.000,39.000,31.000,6.000,6.000,,,,
1182839,,,14/01/2018,12:00:00AM,1855.000,0.000,,,807.338,1048.370,0.074,0.000,232.000,283.000,21.000,17.000,,,,
1182840,,,14/01/2018,12:00:00AM,879.000,0.000,,,486.250,393.329,0.074,0.000,10.000,4.000,48.000,49.000,,,,
1182841,,,14/01/2018,12:00:00AM,554.000,0.000,,,328.267,226.616,0.074,0.000,8.000,6.000,26.000,18.000,,,,
1182842,,,14/01/2018,12:00:00AM,2049.000,0.000,,,975.750,1073.430,0.074,0.000,42.000,34.000,97.000,91.000,,,,
1182844,,,14/01/2018,12:00:00AM,688.000,0.000,,,380.004,308.630,0.074,0.000,197.000,220.000,1.000,1.000,,,,
1182845,,,14/01/2018,12:00:00AM,1511.000,0.000,,,715.787,796.144,0.074,0.000,51.000,17.000,77.000,107.000,,,,
1182846,,,14/01/2018,12:00:00AM,770.000,0.000,,,267.401,503.317,0.074,0.000,22.000,39.000,20.000,26.000,,,,
1182847,,,14/01/2018,12:00:00AM,1409.000,0.000,,,570.284,839.236,0.074,0.000,34.000,22.000,86.000,149.000,,,,
1182848,,,14/01/2018,12:00:00AM,1869.000,0.000,,,733.642,1136.307,0.074,0.000,139.000,221.000,6.000,5.000,,,,
1182849,,,14/01/2018,12:00:00AM,930.000,0.000,,,481.267,449.589,0.074,0.000,48.000,67.000,15.000,11.000,,,,
1182850,,,14/01/2018,12:00:00AM,1595.000,0.000,,,650.632,945.344,0.074,0.000,118.000,226.000,6.000,5.000,,,,
1182851,,,14/01/2018,12:00:00AM,1298.000,0.000,,,654.028,644.690,0.074,0.000,163.000,306.000,5.000,5.000,,,,
1182852,,,14/01/2018,12:00:00AM,1347.000,0.000,,,619.255,728.484,0.074,0.000,66.000,85.000,123.000,107.000,,,,
