MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,10/01/2018,12:00:00AM,6914.000,0.000,,,3463.161,3451.027,0.074,0.000,635.000,637.000,0.000,0.000,,,,
1182799,,,10/01/2018,12:00:00AM,392.000,0.000,,,199.710,193.004,0.074,0.000,54.000,54.000,0.000,0.000,,,,
1182800,,,10/01/2018,12:00:00AM,1491.000,0.000,,,685.292,806.550,0.074,0.000,22.000,13.000,80.000,72.000,,,,
1182801,,,10/01/2018,12:00:00AM,891.000,0.000,,,577.607,314.383,0.074,0.000,137.000,121.000,13.000,6.000,,,,
1182802,,,10/01/2018,12:00:00AM,1425.000,0.000,,,434.099,991.715,0.074,0.000,36.000,76.000,31.000,42.000,,,,
1182803,,,10/01/2018,12:00:00AM,1073.000,0.000,,,425.150,648.833,0.074,0.000,149.000,189.000,37.000,40.000,,,,
1182804,,,10/01/2018,12:00:00AM,3105.000,0.000,,,1660.335,1445.539,0.074,0.000,48.000,44.000,86.000,77.000,,,,
1182805,,,10/01/2018,12:00:00AM,1993.000,0.000,,,1003.200,990.508,0.074,0.000,22.000,16.000,267.000,320.000,,,,
1182806,,,10/01/2018,12:00:00AM,949.000,0.000,,,398.898,551.018,0.074,0.000,62.000,53.000,30.000,83.000,,,,
1182807,,,10/01/2018,12:00:00AM,547.000,0.000,,,277.487,270.224,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,10/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,10/01/2018,12:00:00AM,1922.000,0.000,,,798.615,1123.453,0.074,0.000,289.000,275.000,30.000,61.000,,,,
