MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052841,,,23/01/2018,12:00:00AM,433.000,0.000,305.000,7.968,311.563,122.222,0.091,0.000,,,,,226.726,78.885,4.098,3.870
5052842,,,23/01/2018,12:00:00AM,1829.000,0.000,1036.000,34.704,1464.662,364.573,0.091,0.000,,,,,977.524,58.772,9.854,24.850
5052843,,,23/01/2018,12:00:00AM,1801.000,0.000,1648.000,59.984,1490.926,310.628,0.090,0.000,,,,,1515.695,132.856,15.187,44.797
5052844,,,23/01/2018,12:00:00AM,87.000,0.000,5.000,49.573,53.338,34.214,0.090,0.000,,,,,5.167,0.197,24.975,24.598
5052845,,,23/01/2018,12:00:00AM,3253.000,0.000,1589.000,7.886,2722.980,530.162,0.091,0.000,,,,,1474.584,114.628,1.963,5.923
5052846,,,23/01/2018,12:00:00AM,91.000,0.000,58.000,15.266,79.758,12.050,0.090,0.000,,,,,48.505,10.465,7.320,7.946
5052847,,,23/01/2018,12:00:00AM,1109.000,0.000,115.000,77.280,747.935,361.496,0.090,0.000,,,,,105.891,9.531,25.113,52.167
5052848,,,23/01/2018,12:00:00AM,1282.000,0.000,92.000,13.305,744.463,537.723,0.053,0.000,,,,,43.354,49.518,5.294,8.011
5052849,,,23/01/2018,12:00:00AM,1738.000,0.000,186.000,3.195,926.030,812.771,0.053,0.000,,,,,92.032,94.713,1.914,1.281
5052850,,,23/01/2018,12:00:00AM,479.000,0.000,2.000,461.285,310.704,168.349,0.052,0.000,,,,,2.739,0.040,231.329,229.956
5052851,,,23/01/2018,12:00:00AM,207.000,0.000,15.000,276.039,97.045,110.472,0.053,0.000,,,,,8.057,7.235,137.337,138.702
5052852,,,23/01/2018,12:00:00AM,128.000,0.000,0.000,11.330,70.384,58.330,0.052,0.000,,,,,0.663,0.000,6.383,4.947
5052853,,,23/01/2018,12:00:00AM,19991.000,0.000,9166.000,0.000,13810.185,6180.834,0.052,0.000,,,,,5843.136,3323.702,0.000,0.000
5052854,,,23/01/2018,12:00:00AM,1488.000,0.000,1117.000,0.122,1252.918,235.569,0.053,0.000,,,,,1003.365,113.969,0.050,0.072
5052855,,,23/01/2018,12:00:00AM,1487.000,0.000,1236.000,0.001,1446.736,41.221,0.053,0.000,,,,,1206.294,30.597,0.001,0.000
5052856,,,23/01/2018,12:00:00AM,937.000,0.000,29.000,65.330,321.980,615.506,0.053,0.000,,,,,23.544,5.522,25.493,39.837
5052857,,,23/01/2018,12:00:00AM,652.000,0.000,18.000,396.158,362.867,289.159,0.052,0.000,,,,,10.799,7.730,197.712,198.446
5052858,,,23/01/2018,12:00:00AM,1620.000,0.000,497.000,14.684,658.597,961.485,0.052,0.000,,,,,279.883,217.322,7.905,6.779
5052859,,,23/01/2018,12:00:00AM,879.000,0.000,61.000,68.460,384.481,495.039,0.052,0.000,,,,,35.095,25.982,33.087,35.373
5052860,,,23/01/2018,12:00:00AM,418.000,0.000,33.000,74.444,192.405,226.252,0.053,0.000,,,,,20.304,12.858,41.702,32.742
5052861,,,23/01/2018,12:00:00AM,1097.000,0.000,125.000,48.505,454.408,643.134,0.053,0.000,,,,,60.472,65.064,21.382,27.123
5052862,,,23/01/2018,12:00:00AM,803.000,0.000,11.000,92.210,398.533,405.377,0.053,0.000,,,,,6.930,4.486,42.933,49.277
5052863,,,23/01/2018,12:00:00AM,551.000,0.000,4.000,479.977,313.963,237.172,0.052,0.000,,,,,4.478,0.138,235.966,244.011
5052864,,,23/01/2018,12:00:00AM,391.000,0.000,6.000,114.707,248.104,143.764,0.053,0.000,,,,,3.021,3.675,63.711,50.996
5052865,,,23/01/2018,12:00:00AM,907.000,0.000,41.000,5.858,596.116,311.426,0.052,0.000,,,,,26.867,15.006,3.597,2.261
5052866,,,23/01/2018,12:00:00AM,972.000,0.000,226.000,3.640,596.353,376.177,0.053,0.000,,,,,110.160,115.902,2.400,1.240
