MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,08/01/2018,12:00:00AM,6796.000,0.000,,,3404.571,3392.255,0.074,0.000,626.000,628.000,0.000,0.000,,,,
1182799,,,08/01/2018,12:00:00AM,386.000,0.000,,,196.511,189.798,0.074,0.000,53.000,53.000,0.000,0.000,,,,
1182800,,,08/01/2018,12:00:00AM,1451.000,0.000,,,677.644,773.886,0.074,0.000,22.000,13.000,79.000,71.000,,,,
1182801,,,08/01/2018,12:00:00AM,876.000,0.000,,,568.699,308.019,0.074,0.000,135.000,120.000,12.000,6.000,,,,
1182802,,,08/01/2018,12:00:00AM,1409.000,0.000,,,426.653,982.665,0.074,0.000,35.000,76.000,31.000,41.000,,,,
1182803,,,08/01/2018,12:00:00AM,1051.000,0.000,,,414.533,636.701,0.074,0.000,147.000,186.000,36.000,40.000,,,,
1182804,,,08/01/2018,12:00:00AM,3059.000,0.000,,,1627.334,1432.412,0.074,0.000,48.000,44.000,84.000,75.000,,,,
1182805,,,08/01/2018,12:00:00AM,1950.000,0.000,,,976.595,973.715,0.074,0.000,21.000,16.000,264.000,317.000,,,,
1182806,,,08/01/2018,12:00:00AM,941.000,0.000,,,394.631,547.059,0.074,0.000,61.000,52.000,30.000,82.000,,,,
1182807,,,08/01/2018,12:00:00AM,538.000,0.000,,,272.970,265.706,0.074,0.000,0.000,0.000,14.000,10.000,,,,
1182808,,,08/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,08/01/2018,12:00:00AM,1886.000,0.000,,,777.759,1108.473,0.074,0.000,284.000,273.000,29.000,59.000,,,,
1182810,,,08/01/2018,12:00:00AM,1744.000,0.000,,,872.168,872.238,0.074,0.000,115.000,94.000,20.000,22.000,,,,
1182811,,,08/01/2018,12:00:00AM,530.000,0.000,,,286.336,244.518,0.074,0.000,48.000,54.000,4.000,3.000,,,,
1182812,,,08/01/2018,12:00:00AM,1779.000,0.000,,,940.828,838.427,0.074,0.000,30.000,23.000,28.000,30.000,,,,
1182813,,,08/01/2018,12:00:00AM,791.000,0.000,,,209.735,581.738,0.074,0.000,108.000,270.000,0.000,0.000,,,,
