MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,07/01/2018,12:00:00AM,6737.000,0.000,,,3375.163,3362.723,0.074,0.000,621.000,622.000,0.000,0.000,,,,
1182799,,,07/01/2018,12:00:00AM,383.000,0.000,,,194.913,188.194,0.074,0.000,52.000,52.000,0.000,0.000,,,,
1182800,,,07/01/2018,12:00:00AM,1431.000,0.000,,,669.324,762.372,0.074,0.000,22.000,13.000,78.000,70.000,,,,
1182801,,,07/01/2018,12:00:00AM,867.000,0.000,,,562.135,305.594,0.074,0.000,135.000,119.000,12.000,6.000,,,,
1182802,,,07/01/2018,12:00:00AM,1400.000,0.000,,,422.952,977.559,0.074,0.000,35.000,76.000,31.000,41.000,,,,
1182803,,,07/01/2018,12:00:00AM,1045.000,0.000,,,412.276,632.830,0.074,0.000,146.000,185.000,36.000,39.000,,,,
1182804,,,07/01/2018,12:00:00AM,3036.000,0.000,,,1611.837,1424.658,0.074,0.000,48.000,44.000,83.000,73.000,,,,
1182805,,,07/01/2018,12:00:00AM,1932.000,0.000,,,966.149,966.320,0.074,0.000,21.000,16.000,263.000,315.000,,,,
1182806,,,07/01/2018,12:00:00AM,938.000,0.000,,,392.586,545.441,0.074,0.000,61.000,52.000,30.000,81.000,,,,
1182807,,,07/01/2018,12:00:00AM,534.000,0.000,,,270.716,263.447,0.074,0.000,0.000,0.000,14.000,10.000,,,,
1182808,,,07/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.016,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,07/01/2018,12:00:00AM,1870.000,0.000,,,766.632,1104.319,0.074,0.000,281.000,272.000,29.000,58.000,,,,
1182810,,,07/01/2018,12:00:00AM,1738.000,0.000,,,868.624,869.381,0.074,0.000,114.000,94.000,20.000,22.000,,,,
1182811,,,07/01/2018,12:00:00AM,524.000,0.000,,,284.554,240.241,0.074,0.000,47.000,54.000,4.000,3.000,,,,
1182812,,,07/01/2018,12:00:00AM,1746.000,0.000,,,921.730,824.673,0.074,0.000,30.000,23.000,28.000,30.000,,,,
1182813,,,07/01/2018,12:00:00AM,789.000,0.000,,,208.431,580.734,0.074,0.000,107.000,270.000,0.000,0.000,,,,
1182814,,,07/01/2018,12:00:00AM,973.000,0.000,,,309.148,664.371,0.074,0.000,94.000,151.000,14.000,13.000,,,,
1182815,,,07/01/2018,12:00:00AM,1931.000,0.000,,,770.536,1161.388,0.074,0.000,101.000,67.000,40.000,59.000,,,,
1182816,,,07/01/2018,12:00:00AM,1332.000,0.000,,,517.400,815.356,0.074,0.000,90.000,87.000,44.000,43.000,,,,
1182817,,,07/01/2018,12:00:00AM,785.000,0.000,,,231.125,554.431,0.074,0.000,10.000,27.000,33.000,22.000,,,,
1182818,,,07/01/2018,12:00:00AM,1064.000,0.000,,,237.495,826.831,0.074,0.000,166.000,241.000,5.000,6.000,,,,
1182819,,,07/01/2018,12:00:00AM,867.000,0.000,,,335.484,531.837,0.074,0.000,48.000,30.000,10.000,32.000,,,,
1182820,,,07/01/2018,12:00:00AM,559.000,0.000,,,285.702,273.937,0.074,0.000,181.000,174.000,1.000,1.000,,,,
1182821,,,07/01/2018,12:00:00AM,1524.000,0.000,,,830.307,693.934,0.074,0.000,54.000,9.000,153.000,211.000,,,,
1182822,,,07/01/2018,12:00:00AM,837.000,0.000,,,385.647,451.994,0.074,0.000,30.000,9.000,40.000,44.000,,,,
1182823,,,07/01/2018,12:00:00AM,714.000,0.000,,,325.682,389.040,0.074,0.000,132.000,118.000,15.000,19.000,,,,
1182824,,,07/01/2018,12:00:00AM,896.000,0.000,,,513.129,383.619,0.074,0.000,177.000,182.000,3.000,4.000,,,,
1182825,,,07/01/2018,12:00:00AM,1946.000,0.000,,,1068.060,878.004,0.074,0.000,73.000,106.000,12.000,2.000,,,,
1182826,,,07/01/2018,12:00:00AM,477.000,0.000,,,303.200,173.878,0.074,0.000,65.000,27.000,15.000,19.000,,,,
1182827,,,07/01/2018,12:00:00AM,1790.000,0.000,,,1010.277,780.703,0.074,0.000,271.000,229.000,1.000,0.000,,,,
1182828,,,07/01/2018,12:00:00AM,1405.000,0.000,,,469.526,936.421,0.074,0.000,180.000,129.000,10.000,54.000,,,,
1182829,,,07/01/2018,12:00:00AM,1530.000,0.000,,,706.208,824.616,0.074,0.000,107.000,218.000,39.000,31.000,,,,
1182830,,,07/01/2018,12:00:00AM,1648.000,0.000,,,823.249,825.740,0.074,0.000,48.000,56.000,72.000,46.000,,,,
