MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,12/01/2018,12:00:00AM,7031.000,0.000,,,3521.837,3509.717,0.074,0.000,644.000,647.000,0.000,0.000,,,,
1182799,,,12/01/2018,12:00:00AM,399.000,0.000,,,202.902,196.209,0.074,0.000,54.000,54.000,0.000,0.000,,,,
1182800,,,12/01/2018,12:00:00AM,1546.000,0.000,,,691.830,855.101,0.074,0.000,23.000,13.000,81.000,74.000,,,,
1182801,,,12/01/2018,12:00:00AM,911.000,0.000,,,592.549,319.229,0.074,0.000,138.000,122.000,13.000,7.000,,,,
1182802,,,12/01/2018,12:00:00AM,1440.000,0.000,,,440.325,1000.213,0.074,0.000,37.000,76.000,32.000,42.000,,,,
1182803,,,12/01/2018,12:00:00AM,1096.000,0.000,,,433.677,662.745,0.074,0.000,150.000,191.000,38.000,41.000,,,,
1182804,,,12/01/2018,12:00:00AM,3137.000,0.000,,,1684.544,1453.028,0.074,0.000,49.000,44.000,87.000,79.000,,,,
1182805,,,12/01/2018,12:00:00AM,2024.000,0.000,,,1020.467,1003.695,0.074,0.000,23.000,16.000,270.000,324.000,,,,
1182806,,,12/01/2018,12:00:00AM,956.000,0.000,,,402.728,554.187,0.074,0.000,62.000,53.000,31.000,84.000,,,,
1182807,,,12/01/2018,12:00:00AM,556.000,0.000,,,282.005,274.747,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,12/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,12/01/2018,12:00:00AM,1964.000,0.000,,,825.712,1139.129,0.074,0.000,295.000,277.000,30.000,62.000,,,,
1182810,,,12/01/2018,12:00:00AM,1771.000,0.000,,,887.009,884.031,0.074,0.000,118.000,97.000,20.000,22.000,,,,
1182811,,,12/01/2018,12:00:00AM,537.000,0.000,,,288.751,249.106,0.074,0.000,49.000,55.000,4.000,3.000,,,,
1182812,,,12/01/2018,12:00:00AM,1906.000,0.000,,,1011.063,895.458,0.074,0.000,31.000,23.000,30.000,31.000,,,,
1182813,,,12/01/2018,12:00:00AM,809.000,0.000,,,215.429,594.035,0.074,0.000,110.000,272.000,0.000,0.000,,,,
1182814,,,12/01/2018,12:00:00AM,995.000,0.000,,,315.513,679.610,0.074,0.000,96.000,153.000,15.000,14.000,,,,
1182815,,,12/01/2018,12:00:00AM,1959.000,0.000,,,783.560,1176.272,0.074,0.000,104.000,69.000,43.000,61.000,,,,
1182816,,,12/01/2018,12:00:00AM,1386.000,0.000,,,538.368,848.256,0.074,0.000,94.000,91.000,47.000,46.000,,,,
1182817,,,12/01/2018,12:00:00AM,798.000,0.000,,,236.691,561.732,0.074,0.000,10.000,27.000,35.000,24.000,,,,
1182818,,,12/01/2018,12:00:00AM,1083.000,0.000,,,246.233,837.739,0.074,0.000,171.000,246.000,5.000,7.000,,,,
1182819,,,12/01/2018,12:00:00AM,878.000,0.000,,,340.473,538.250,0.074,0.000,50.000,31.000,11.000,33.000,,,,
1182820,,,12/01/2018,12:00:00AM,572.000,0.000,,,293.424,279.418,0.074,0.000,186.000,178.000,1.000,1.000,,,,
1182821,,,12/01/2018,12:00:00AM,1565.000,0.000,,,857.916,707.820,0.074,0.000,57.000,9.000,158.000,218.000,,,,
1182822,,,12/01/2018,12:00:00AM,874.000,0.000,,,400.370,474.572,0.074,0.000,31.000,9.000,41.000,47.000,,,,
1182823,,,12/01/2018,12:00:00AM,754.000,0.000,,,346.291,408.413,0.074,0.000,135.000,121.000,17.000,22.000,,,,
1182824,,,12/01/2018,12:00:00AM,925.000,0.000,,,530.880,394.963,0.074,0.000,182.000,186.000,3.000,4.000,,,,
1182825,,,12/01/2018,12:00:00AM,2002.000,0.000,,,1100.808,901.197,0.074,0.000,79.000,112.000,12.000,2.000,,,,
1182826,,,12/01/2018,12:00:00AM,491.000,0.000,,,312.030,179.444,0.074,0.000,67.000,28.000,16.000,19.000,,,,
1182827,,,12/01/2018,12:00:00AM,1830.000,0.000,,,1031.226,799.126,0.074,0.000,278.000,235.000,1.000,0.000,,,,
1182828,,,12/01/2018,12:00:00AM,1439.000,0.000,,,486.018,953.379,0.074,0.000,187.000,135.000,10.000,54.000,,,,
1182829,,,12/01/2018,12:00:00AM,1560.000,0.000,,,722.460,838.317,0.074,0.000,109.000,219.000,41.000,34.000,,,,
1182830,,,12/01/2018,12:00:00AM,1686.000,0.000,,,841.990,844.516,0.074,0.000,49.000,56.000,76.000,49.000,,,,
1182831,,,12/01/2018,12:00:00AM,860.000,0.000,,,474.843,385.787,0.074,0.000,21.000,28.000,13.000,3.000,,,,
1182832,,,12/01/2018,12:00:00AM,789.000,0.000,,,356.356,432.646,0.074,0.000,4.000,1.000,186.000,195.000,,,,
1182833,,,12/01/2018,12:00:00AM,866.000,0.000,,,392.337,473.895,0.074,0.000,67.000,71.000,13.000,8.000,,,,
1182834,,,12/01/2018,12:00:00AM,747.000,0.000,,,414.401,333.501,0.074,0.000,135.000,90.000,2.000,5.000,,,,
1182835,,,12/01/2018,12:00:00AM,351.000,0.000,,,214.383,136.836,0.074,0.000,63.000,41.000,1.000,1.000,,,,
1182836,,,12/01/2018,12:00:00AM,1121.000,0.000,,,419.432,702.063,0.095,0.000,16.000,6.000,48.000,49.000,,,,
1182837,,,12/01/2018,12:00:00AM,382.000,0.000,,,181.896,200.904,0.074,0.000,80.000,67.000,2.000,3.000,,,,
1182838,,,12/01/2018,12:00:00AM,405.000,0.000,,,205.467,200.477,0.074,0.000,38.000,30.000,6.000,6.000,,,,
1182839,,,12/01/2018,12:00:00AM,1838.000,0.000,,,799.508,1038.617,0.074,0.000,230.000,282.000,20.000,16.000,,,,
1182840,,,12/01/2018,12:00:00AM,869.000,0.000,,,479.899,389.579,0.074,0.000,10.000,4.000,47.000,48.000,,,,
1182841,,,12/01/2018,12:00:00AM,550.000,0.000,,,326.404,224.432,0.074,0.000,8.000,6.000,26.000,18.000,,,,
1182842,,,12/01/2018,12:00:00AM,2004.000,0.000,,,958.840,1045.663,0.074,0.000,42.000,34.000,95.000,89.000,,,,
1182844,,,12/01/2018,12:00:00AM,676.000,0.000,,,372.486,304.367,0.074,0.000,194.000,217.000,1.000,1.000,,,,
1182845,,,12/01/2018,12:00:00AM,1492.000,0.000,,,704.765,787.661,0.074,0.000,51.000,17.000,75.000,106.000,,,,
1182846,,,12/01/2018,12:00:00AM,764.000,0.000,,,264.964,499.958,0.074,0.000,22.000,39.000,19.000,25.000,,,,
