MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,11/01/2018,12:00:00AM,6972.000,0.000,,,3492.493,3480.368,0.074,0.000,640.000,642.000,0.000,0.000,,,,
1182799,,,11/01/2018,12:00:00AM,395.000,0.000,,,201.306,194.607,0.074,0.000,54.000,54.000,0.000,0.000,,,,
1182800,,,11/01/2018,12:00:00AM,1518.000,0.000,,,688.432,830.230,0.074,0.000,22.000,13.000,81.000,73.000,,,,
1182801,,,11/01/2018,12:00:00AM,904.000,0.000,,,587.476,316.678,0.074,0.000,138.000,121.000,13.000,6.000,,,,
1182802,,,11/01/2018,12:00:00AM,1432.000,0.000,,,437.072,995.505,0.074,0.000,37.000,76.000,31.000,42.000,,,,
1182803,,,11/01/2018,12:00:00AM,1085.000,0.000,,,429.780,656.001,0.074,0.000,150.000,190.000,37.000,41.000,,,,
1182804,,,11/01/2018,12:00:00AM,3124.000,0.000,,,1674.697,1449.884,0.074,0.000,49.000,44.000,86.000,78.000,,,,
1182805,,,11/01/2018,12:00:00AM,2013.000,0.000,,,1015.824,997.590,0.074,0.000,22.000,16.000,268.000,322.000,,,,
1182806,,,11/01/2018,12:00:00AM,953.000,0.000,,,401.230,552.720,0.074,0.000,62.000,53.000,31.000,83.000,,,,
1182807,,,11/01/2018,12:00:00AM,552.000,0.000,,,279.746,272.486,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,11/01/2018,12:00:00AM,6.000,0.000,,,6.436,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,11/01/2018,12:00:00AM,1952.000,0.000,,,820.185,1132.038,0.074,0.000,293.000,276.000,30.000,61.000,,,,
1182810,,,11/01/2018,12:00:00AM,1764.000,0.000,,,883.895,881.021,0.074,0.000,118.000,96.000,20.000,22.000,,,,
1182811,,,11/01/2018,12:00:00AM,536.000,0.000,,,288.218,248.564,0.074,0.000,49.000,55.000,4.000,3.000,,,,
1182812,,,11/01/2018,12:00:00AM,1868.000,0.000,,,991.687,876.737,0.074,0.000,31.000,23.000,30.000,31.000,,,,
1182813,,,11/01/2018,12:00:00AM,804.000,0.000,,,213.592,590.584,0.074,0.000,110.000,272.000,0.000,0.000,,,,
1182814,,,11/01/2018,12:00:00AM,990.000,0.000,,,314.103,676.845,0.074,0.000,96.000,153.000,15.000,14.000,,,,
1182815,,,11/01/2018,12:00:00AM,1955.000,0.000,,,782.036,1173.847,0.074,0.000,103.000,68.000,42.000,61.000,,,,
1182816,,,11/01/2018,12:00:00AM,1379.000,0.000,,,535.942,843.272,0.074,0.000,93.000,90.000,46.000,45.000,,,,
1182817,,,11/01/2018,12:00:00AM,796.000,0.000,,,236.150,560.607,0.074,0.000,10.000,27.000,35.000,23.000,,,,
1182818,,,11/01/2018,12:00:00AM,1079.000,0.000,,,244.294,834.988,0.074,0.000,170.000,245.000,5.000,7.000,,,,
1182819,,,11/01/2018,12:00:00AM,876.000,0.000,,,339.310,536.842,0.074,0.000,50.000,30.000,10.000,33.000,,,,
1182820,,,11/01/2018,12:00:00AM,570.000,0.000,,,291.952,278.445,0.074,0.000,185.000,177.000,1.000,1.000,,,,
1182821,,,11/01/2018,12:00:00AM,1558.000,0.000,,,853.364,705.502,0.074,0.000,56.000,9.000,157.000,217.000,,,,
1182822,,,11/01/2018,12:00:00AM,867.000,0.000,,,398.129,469.453,0.074,0.000,31.000,9.000,41.000,46.000,,,,
1182823,,,11/01/2018,12:00:00AM,746.000,0.000,,,341.822,405.172,0.074,0.000,135.000,120.000,17.000,21.000,,,,
1182824,,,11/01/2018,12:00:00AM,919.000,0.000,,,527.329,392.012,0.074,0.000,181.000,185.000,3.000,4.000,,,,
1182825,,,11/01/2018,12:00:00AM,1994.000,0.000,,,1096.543,898.091,0.074,0.000,78.000,111.000,12.000,2.000,,,,
1182826,,,11/01/2018,12:00:00AM,489.000,0.000,,,310.797,178.499,0.074,0.000,67.000,28.000,15.000,19.000,,,,
1182827,,,11/01/2018,12:00:00AM,1821.000,0.000,,,1026.599,795.203,0.074,0.000,277.000,234.000,1.000,0.000,,,,
1182828,,,11/01/2018,12:00:00AM,1432.000,0.000,,,483.527,949.319,0.074,0.000,186.000,133.000,10.000,54.000,,,,
1182829,,,11/01/2018,12:00:00AM,1557.000,0.000,,,721.001,836.117,0.074,0.000,108.000,219.000,41.000,33.000,,,,
1182830,,,11/01/2018,12:00:00AM,1679.000,0.000,,,838.911,840.572,0.074,0.000,49.000,56.000,75.000,48.000,,,,
1182831,,,11/01/2018,12:00:00AM,855.000,0.000,,,471.955,383.599,0.074,0.000,21.000,28.000,13.000,3.000,,,,
1182832,,,11/01/2018,12:00:00AM,786.000,0.000,,,355.366,430.654,0.074,0.000,4.000,1.000,185.000,193.000,,,,
1182833,,,11/01/2018,12:00:00AM,862.000,0.000,,,390.660,472.309,0.074,0.000,67.000,71.000,13.000,8.000,,,,
1182834,,,11/01/2018,12:00:00AM,743.000,0.000,,,411.873,331.232,0.074,0.000,135.000,90.000,2.000,5.000,,,,
1182835,,,11/01/2018,12:00:00AM,345.000,0.000,,,211.865,133.259,0.074,0.000,62.000,40.000,1.000,1.000,,,,
1182836,,,11/01/2018,12:00:00AM,1114.000,0.000,,,417.063,697.339,0.095,0.000,16.000,6.000,48.000,48.000,,,,
1182837,,,11/01/2018,12:00:00AM,380.000,0.000,,,180.235,199.965,0.074,0.000,79.000,67.000,2.000,3.000,,,,
1182838,,,11/01/2018,12:00:00AM,393.000,0.000,,,202.976,190.855,0.074,0.000,38.000,30.000,6.000,6.000,,,,
1182839,,,11/01/2018,12:00:00AM,1823.000,0.000,,,792.765,1031.013,0.074,0.000,229.000,281.000,20.000,16.000,,,,
1182840,,,11/01/2018,12:00:00AM,864.000,0.000,,,477.269,387.356,0.074,0.000,10.000,4.000,46.000,48.000,,,,
1182841,,,11/01/2018,12:00:00AM,547.000,0.000,,,324.498,223.145,0.074,0.000,8.000,6.000,26.000,18.000,,,,
1182842,,,11/01/2018,12:00:00AM,1973.000,0.000,,,944.762,1028.943,0.074,0.000,42.000,34.000,94.000,88.000,,,,
1182844,,,11/01/2018,12:00:00AM,673.000,0.000,,,370.571,302.677,0.074,0.000,193.000,216.000,1.000,1.000,,,,
1182845,,,11/01/2018,12:00:00AM,1481.000,0.000,,,698.747,782.905,0.074,0.000,51.000,17.000,74.000,105.000,,,,
1182846,,,11/01/2018,12:00:00AM,761.000,0.000,,,263.375,498.064,0.074,0.000,22.000,39.000,19.000,25.000,,,,
1182847,,,11/01/2018,12:00:00AM,1394.000,0.000,,,564.468,829.656,0.074,0.000,34.000,22.000,83.000,146.000,,,,
1182848,,,11/01/2018,12:00:00AM,1848.000,0.000,,,721.794,1126.614,0.074,0.000,137.000,219.000,6.000,5.000,,,,
1182849,,,11/01/2018,12:00:00AM,891.000,0.000,,,469.142,422.503,0.074,0.000,47.000,65.000,14.000,11.000,,,,
