MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
1182798,,,15/01/2018,12:00:00AM,7207.000,0.000,,,3609.909,3597.944,0.074,0.000,659.000,661.000,0.000,0.000,,,,
1182799,,,15/01/2018,12:00:00AM,408.000,0.000,,,207.695,201.016,0.074,0.000,56.000,56.000,0.000,0.000,,,,
1182800,,,15/01/2018,12:00:00AM,1638.000,0.000,,,717.885,920.269,0.074,0.000,23.000,13.000,84.000,76.000,,,,
1182801,,,15/01/2018,12:00:00AM,940.000,0.000,,,611.927,328.413,0.074,0.000,140.000,124.000,14.000,7.000,,,,
1182802,,,15/01/2018,12:00:00AM,1463.000,0.000,,,450.008,1013.691,0.074,0.000,37.000,77.000,33.000,43.000,,,,
1182803,,,15/01/2018,12:00:00AM,1117.000,0.000,,,442.236,675.736,0.074,0.000,153.000,194.000,38.000,42.000,,,,
1182804,,,15/01/2018,12:00:00AM,3183.000,0.000,,,1711.451,1472.409,0.074,0.000,49.000,44.000,89.000,81.000,,,,
1182805,,,15/01/2018,12:00:00AM,2068.000,0.000,,,1039.616,1029.363,0.074,0.000,23.000,17.000,276.000,329.000,,,,
1182806,,,15/01/2018,12:00:00AM,965.000,0.000,,,407.012,558.612,0.074,0.000,63.000,53.000,32.000,85.000,,,,
1182807,,,15/01/2018,12:00:00AM,570.000,0.000,,,288.779,281.524,0.074,0.000,0.000,0.000,15.000,11.000,,,,
1182808,,,15/01/2018,12:00:00AM,6.000,0.000,,,6.437,0.017,0.074,0.000,8.000,8.000,0.000,0.000,,,,
1182809,,,15/01/2018,12:00:00AM,2007.000,0.000,,,853.209,1154.107,0.074,0.000,301.000,279.000,32.000,65.000,,,,
1182810,,,15/01/2018,12:00:00AM,1789.000,0.000,,,896.514,892.514,0.074,0.000,121.000,98.000,20.000,23.000,,,,
1182811,,,15/01/2018,12:00:00AM,549.000,0.000,,,292.983,256.084,0.074,0.000,50.000,56.000,4.000,3.000,,,,
1182812,,,15/01/2018,12:00:00AM,1981.000,0.000,,,1050.705,931.263,0.074,0.000,31.000,23.000,31.000,32.000,,,,
1182813,,,15/01/2018,12:00:00AM,815.000,0.000,,,218.505,596.867,0.074,0.000,112.000,274.000,0.000,0.000,,,,
1182814,,,15/01/2018,12:00:00AM,1014.000,0.000,,,322.995,691.213,0.074,0.000,98.000,154.000,15.000,15.000,,,,
1182815,,,15/01/2018,12:00:00AM,1976.000,0.000,,,792.059,1184.563,0.074,0.000,107.000,70.000,44.000,63.000,,,,
1182816,,,15/01/2018,12:00:00AM,1417.000,0.000,,,549.805,867.262,0.074,0.000,95.000,93.000,49.000,48.000,,,,
1182817,,,15/01/2018,12:00:00AM,804.000,0.000,,,238.832,565.747,0.074,0.000,10.000,27.000,35.000,25.000,,,,
1182818,,,15/01/2018,12:00:00AM,1100.000,0.000,,,252.991,848.007,0.074,0.000,174.000,249.000,6.000,7.000,,,,
1182819,,,15/01/2018,12:00:00AM,884.000,0.000,,,343.116,541.236,0.074,0.000,51.000,31.000,11.000,34.000,,,,
1182820,,,15/01/2018,12:00:00AM,580.000,0.000,,,298.154,282.299,0.074,0.000,188.000,180.000,1.000,1.000,,,,
1182821,,,15/01/2018,12:00:00AM,1595.000,0.000,,,875.887,719.439,0.074,0.000,61.000,10.000,161.000,223.000,,,,
1182822,,,15/01/2018,12:00:00AM,895.000,0.000,,,407.590,488.047,0.074,0.000,32.000,10.000,43.000,48.000,,,,
