MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052853,,,13/01/2018,12:00:00AM,17571.000,0.000,8234.000,0.000,12131.103,5440.346,0.052,0.000,,,,,5227.406,3006.884,0.000,0.000
5052854,,,13/01/2018,12:00:00AM,1295.000,0.000,960.000,0.122,1091.207,204.581,0.053,0.000,,,,,865.902,94.241,0.050,0.072
5052855,,,13/01/2018,12:00:00AM,1245.000,0.000,1057.000,0.001,1209.496,36.246,0.053,0.000,,,,,1031.197,26.784,0.001,0.000
5052858,,,13/01/2018,12:00:00AM,1371.000,0.000,435.000,13.086,560.483,811.016,0.052,0.000,,,,,246.076,189.012,7.382,5.704
5052868,,,13/01/2018,12:00:00AM,1105.000,0.000,929.000,23.219,798.057,307.767,0.042,0.000,,,,,668.568,260.747,8.048,15.171
5052869,,,13/01/2018,12:00:00AM,154.000,0.000,7.000,128.935,99.221,55.475,0.042,0.000,,,,,7.597,0.350,61.799,67.136
5052870,,,13/01/2018,12:00:00AM,107.000,0.000,34.000,32.740,70.604,36.810,0.042,0.000,,,,,17.530,16.511,17.150,15.590
5052871,,,13/01/2018,12:00:00AM,1348.000,0.000,1184.000,0.004,878.360,470.306,0.042,0.000,,,,,889.085,294.996,0.004,0.000
5052872,,,13/01/2018,12:00:00AM,165.000,0.000,11.000,377.618,96.535,69.193,0.042,0.000,,,,,11.185,0.000,187.066,190.552
5052873,,,13/01/2018,12:00:00AM,319.000,0.000,246.000,1.654,231.353,88.388,0.042,0.000,,,,,187.819,59.029,0.700,0.954
5052874,,,13/01/2018,12:00:00AM,11.000,0.000,1.000,0.001,11.738,0.000,0.042,0.000,,,,,1.159,0.000,0.001,0.000
5052875,,,13/01/2018,12:00:00AM,1097.000,0.000,190.000,33.094,612.971,484.194,0.042,0.000,,,,,134.140,56.289,9.808,23.286
5052915,,,13/01/2018,12:00:00AM,76.000,0.000,68.000,7.333,44.478,31.739,0.050,0.000,,,,,34.523,34.048,3.649,3.684
5052993,,,13/01/2018,12:00:00AM,2729.000,0.000,1700.000,321.092,2171.273,558.715,0.048,0.000,,,,,1612.121,88.171,63.400,257.692
5053010,,,13/01/2018,12:00:00AM,1378.000,0.000,852.000,127.390,1088.772,289.944,0.066,0.000,,,,,824.659,27.649,39.972,87.418
5053012,,,13/01/2018,12:00:00AM,995.000,0.000,984.000,15.663,798.844,196.179,0.066,0.000,,,,,896.611,88.146,5.427,10.236
5053015,,,13/01/2018,12:00:00AM,601.000,0.000,379.000,49.011,506.659,95.329,0.066,0.000,,,,,375.178,4.595,17.516,31.495
5053016,,,13/01/2018,12:00:00AM,581.000,0.000,297.000,75.278,511.831,69.286,0.066,0.000,,,,,293.323,4.022,19.004,56.274
5053018,,,13/01/2018,12:00:00AM,135.000,0.000,94.000,9.967,103.578,31.469,0.066,0.000,,,,,88.993,5.668,4.642,5.325
5053019,,,13/01/2018,12:00:00AM,102.000,0.000,12.000,98.478,74.740,27.826,0.066,0.000,,,,,12.719,0.000,49.053,49.425
5053020,,,13/01/2018,12:00:00AM,249.000,0.000,111.000,4.421,144.510,104.938,0.066,0.000,,,,,67.153,44.696,2.135,2.286
5053021,,,13/01/2018,12:00:00AM,396.000,0.000,83.000,86.226,251.906,144.835,0.066,0.000,,,,,64.699,18.825,38.044,48.182
5053022,,,13/01/2018,12:00:00AM,1606.000,0.000,1130.000,25.276,1355.986,250.604,0.067,0.000,,,,,1001.048,129.650,6.895,18.381
5053023,,,13/01/2018,12:00:00AM,398.000,0.000,351.000,12.788,390.187,8.626,0.066,0.000,,,,,349.097,2.461,4.122,8.666
5053024,,,13/01/2018,12:00:00AM,45.000,0.000,0.000,5.559,33.758,11.609,0.066,0.000,,,,,0.543,0.000,2.819,2.740
5053025,,,13/01/2018,12:00:00AM,277.000,0.000,315.000,105.439,249.490,28.157,0.066,0.000,,,,,298.289,17.237,30.410,75.029
